COUNTRY,TOTAL_REVENUE
United Kingdom,7308391.5540000000541436
Netherlands,285446.3399999999993850
EIRE,265545.9000000000021849
Germany,228867.1400000000008788
France,209024.0499999999999089
Australia,138521.3100000000000620
Spain,61577.1100000000002061
Switzerland,56443.9500000000002265
Belgium,41196.3400000000002475
Sweden,38378.3300000000004330
Japan,37416.3699999999991330
Norway,36165.4400000000002788
Portugal,33439.8900000000003547
Finland,22546.0800000000001845
Singapore,21279.2900000000000200
Channel Islands,20450.4400000000000715
Denmark,18955.3400000000005305
Italy,17483.2400000000002260
Cyprus,13590.3800000000001124
Austria,10198.6800000000000600
Poland,7334.6500000000000420
Israel,7221.6900000000000305
Greece,4760.5200000000000068
Iceland,4310.0000000000000610
Canada,3666.3799999999999900
USA,3580.3900000000000135
Malta,2725.5900000000000092
Unspecified,2667.0700000000000190
United Arab Emirates,1902.2799999999999835
Lebanon,1693.8800000000000270
Lithuania,1661.0599999999999660
European Community,1300.2500000000000450
Brazil,1143.5999999999999980
RSA,1002.3100000000000160
Czech Republic,826.7400000000000030
Bahrain,548.4000000000000090
Saudi Arabia,145.9200000000000000
